id,origin,title,author,description
0,Canadian,01 Nathaniel Mcdaniel and Bigbeards Hook,Evan Solomon,"Meet Nathaniel McDaniel, the mischievous hero of a delightful new series of adventures. In Bigbeard's Hook, Nate discovers Gramps' attic and a treasure trove ..."
1,Canadian,02 Standard of Honor Book Two of the Templar Trilogy,Jack Whyte,"Jack Whyte's thrilling Templar Trilogy continues with Standard of Honor, in which oaths of loyalty and obedience are weighed against the virtues of honour ..."
2,Canadian,03 Knights Templar Order in Chaos,Jack Whyte,"In the final novel in the Templar Trilogy, William St. Clair faces the end of the Order of the Temple of Solomon. Philip IV has arrested every Templar in ..."
3,Canadian,100 Easy-to-Grow Native Plants for Canadian Gardens,Lorraine Johnson,The key to a carefree garden is to know which plants will thrive under local conditions and which ones are better left at the nursery. With watering ...
4,Canadian,10 Women,George Bowering,Ten Women is a new collection of short fiction from one of Canada's preeminent writers. Each of these stories offers us a portrait of a woman with whom the ...
5,Canadian,12 Rose Street,Gail Bowen,The indomitable Joanne Kilbourn is back! From beloved author Gail Bowen comes the 15th installment in the nationally bestselling series. For readers of Louise ...
6,Canadian,12 Shades of Surrender,Anne Calhoun,"Are you ready to step deeper into the shade?If Fifty Shades of Grey has left you aching to expand your BDSM repertoire, the experts on erotic romance have ..."
7,Canadian,13 Lives,Michael Pawlowski,"With stories that chronicle the abused, the homeless, the suicidal, those seeking a world away from the reserve, and those returning to the indigenous ..."
8,Canadian,13 Ways of Looking at a Fat Girl,Mona Awad,Winner of the Amazon.ca First Novel AwardShortlisted for the Scotiabank Giller PrizeLonglisted for the 2017 ;Stephen Leacock Memorial Medal for Humour ...
9,Canadian,150 Years of Stats Canada!,Stats Canada,"Canada's funniest online sensation is back to celebrate the country's 150th anniversaryóbigger, bolder, and only 10% reused material!Want to know what the ..."
10,Canadian,1978,Daniel Jones,"In this violent, raw, and often beautiful novel, Daniel Jones captures the long-vanished Toronto where a broke teen punk could buy a beer with a two-dollar ..."
11,Canadian,1979,Ray Robertson,"It's 1979 and Tom Buzby is thirteen years old and living in the small working- class city of Chatham, Ontario. So far, so normal. Except that Tom's dad is ..."
12,Canadian,19 Knives,Mark Jarman,"With characters ranging from the desperate to the obsessive to the wildly comic, Mark Anthony Jarman's 19 Knives employs dazzling linguistic verve and ..."
13,Canadian,1 Hour Photo,Tetsuro Shigematsu,"From the award-winning Canadian playwright, performer, and radio broadcaster Tetsuro Shigematsu comes 1 Hour Photo, the follow-up to his acclaimed one-man play ..."
14,Canadian,2113,Kevin J. Anderson,"18 exhilarating journeys into Rush-inspired worldsThe music of Rush, one of the most successful bands in history, is filled with fantastic stories, evocative ..."
15,Canadian,26 Knots,Bindu Suresh,"Grand in scope, spare in execution, and lush in language, 26 Knots is a fable-like tale of love, obsession, and everything in between. Araceli loves Adrien. ..."
16,Canadian,2Instruction Manual for Swallowing,Adam Marek,"Exploring what happens when ordinary people collide with bizarre, fantastical situations, this collection of 14 short stories presents an engaging new voice in ..."
17,Canadian,419,Will Ferguson,"From internationally bestselling travel writer Will Ferguson, author of Happiness‚Ñ¢ and Spanish Fly, comes a novel both epic in its sweep and intimate in its ..."
