title_url,title,authors,image,description
https://49thshelf.com/Books/S/Seizing-Ivy-A-Pompey-Story,Seizing Ivy: A Pompey Story,Barbara Parsons,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seizing-ivy-a-pompey-story/9781933480459_cover/365808738-1-eng-CA/9781933480459_cover_coverbookpage_embed.jpg,"A veteran ward sister and nurse, Ivy Maude Gorwick survived years of bicycling to work in a blacked-out city beneath the flak-rattled night skies of World War Two. She now anticipates a respite from years of hard work and lonely widowhood as a resident of The Glebe Repose, a modish elderly care facility.But things are not as they seem, and there are still battles to be won. Ivy fights for her convictions with dignity against bureaucrats and bunglers. "
https://49thshelf.com/Books/S/Send-More-Tourists-the-Last-Ones-Were-Delicious,Send More Tourists...the Last Ones Were Delicious,Tracey Waddleton,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/send-more-tourists-the-last-ones-were-delicious/9781550817805_cover/414521710-1-eng-CA/9781550817805_cover_coverbookpage_embed.jpg,"With birth, death, contemplation, and close calls, Send More Tourists… the Last Ones Were Delicious explores how we respond to the weight of social expectations. From the hidden pressures of wall paint and tarot card predictions, to the burden of phone numbers and the dismembering of saints, Waddleton takes us on a surrealist road trip through the missteps of her vivid characters with honesty and compassion. These are stories of survival. Unafraid, dreamy, and downright weird, these stories cross boundaries of geography, gender, and generation with an eye to the transient nature of human life  "
https://49thshelf.com/Books/S/Sense-and-Sensibility2,Sense and Sensibility,Jane Austen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/sense-and-sensibility2/9780993995170_cover/379237790-1-eng-CA/9780993995170_cover_coverbookpage_embed.jpg,"This is a student edition with an Introduction by specialist Sylvia Hunt, ideal for AP English classes, for junior college and first year university students. The introduction guides the reader through the themes and aspects of the novel and highlights their importance for today’s reader. The annotations help explain and inform the reading. The quality of the book, the legibility of the font, both in the text and in the footnotes, enhance the reading experience. "
https://49thshelf.com/Books/S/Sentimental-Exorcisms,Sentimental Exorcisms,David Derry,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/sentimental-exorcisms/9781552452240_cover/421138444-1-eng-CA/9781552452240_cover_coverbookpage_embed.jpg,"A former lover becomes an uninvited houseguest in Ted and Marjory’s quiet abode, adversely affecting investigations into the history of the semicolon. A judge must compulsively narrate his neighbour into ignominy. A market analyst’s visit to a stripper goes awry, leading to a compulsory leave from work and an intervention from loved ones. An English lit undergraduate finds himself besieged by increasingly urgent voyeuristic desires, and soon finds himself pressed to the glass, firm in his belief that the only way to exorcise his demon is to identify its essential objectives and achieve them. Meanwhile, poor Tim Pine must face his coprophobia in a most public and lamentable office misadventure. Sentimental Exorcisms is a collection of tragicomic satire, latter-day Victorian collisions of Nabokov and Proust. The men in these long short stories have grand designs and petty fears, or modest designs and grand fears. Desires, scapegoats, idylls and obtrusive egos: the golden calves they can’t quite bear to kill. With their ramparts crumbling around them, each mounts an exuberant defence in a vacuum of self-absorption. 'Derry specializes in the most delightfully self-unaware characters. These are delicious portrayals of delusion.' – Uptown'Derry's cohort of misanthropic, sexual-repressed anti-heroes possesses a spooky ability to get under your skin.' – Prairie Fire'Arrestingly witty.' – Vue Magazine "
https://49thshelf.com/Books/S/Sentimentalists-The2,"Sentimentalists, The",Johanna Skibsrud,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/sentimentalists-the2/9781553658955_cover/300998265-1-eng-CA/9781553658955_cover_coverbookpage_embed.jpg,"THE GILLER PRIZE-WINNING NOVEL BY JOHANNA SKIBSRUD. Haunted by the vivid horrors of the Vietnam War, exhausted from years spent battling his memories, Napoleon Haskell leaves his North Dakota trailer and moves to Canada. He retreats to a small Ontario town where Henry, the father of his fallen Vietnam comrade, has a home on the shore of a man-made lake. Under the water is the wreckage of what was once the town -- and the home where Henry was raised. When Napoleon's daughter arrives, fleeing troubles of her own, she finds her father in the dark twilight of his life, and rapidly slipping into senility. With love and insatiable curiosity, she devotes herself to learning the truth about his life; and through the fog, Napoleon's past begins to emerge. Lyrical and riveting, The Sentimentalists is a story of what lies beneath the surface of everyday life, and of the commanding power of the past. Johanna Skibsrud's first novel marks the debut of a powerful new voice in Canadian fiction.  "
https://49thshelf.com/Books/S/Sent-With-Love,Sent With Love,Van  Kunder,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/sent-with-love/9781988168005_cover/330920482-1-eng-CA/9781988168005_cover_coverbookpage_embed.jpg,"At Bay Press is offering our 'Holiday Greeting', featuring a new, never before published poem by Van Kunder. This limited edition of 15 copies is bound entirely by hand in oversized chapbook style. Each book is signed by the author. "
https://49thshelf.com/Books/S/Serafim-and-Claire,Serafim and Claire,Mark Lavorato,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/serafim-and-claire/9781770893658_cover/422936169-1-eng-CA/9781770893658_cover_coverbookpage_embed.jpg,"From one of Canada’s brightest emerging writers comes an unforgettable tale of love, art, and life. Set in the vividly imagined streets of 1920s Montreal, Serafim and Claire is the beautiful, moving, and compulsively readable story of two dreamers whose worlds become forever connected.Claire Audette is a dancer whose reputation in the vaudeville houses of 1920s Montreal is rapidly on the rise. Serafim Vieria is a photographer and lonely immigrant, wandering the streets of the same city haunted by memories of a lost love in his native Portugal. Around them, the Twenties are roaring, and the metropolis is simmering: corrupt politicians, the burgeoning of jazz, the emerging suffragette movement, trouble in the Red Light, fascism in the Italian community, with the English/French divide cleaving through it all. And as Serafim and Claire’s lives begin to intertwine, a dangerous plot forms that could boost both their fortunes. Can their naïve yet cunning plan succeed? Can they make their own luck? And, if they fail, what will become of their budding love? Serafim and Claire is the unforgettable story of two idealistic yet flawed dreamers being drawn together, and of the vibrant city and times in which they live. In lush and beautiful prose, Mark Lavorato brings an entire world vividly to life.  "
https://49thshelf.com/Books/S/Serial-Escape2,Serial Escape,Melinda Di Lorenzo,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/serial-escape2/9781335626677_cover/424086108-1-eng-CA/9781335626677_cover_coverbookpage_embed.jpg,"A killer brought them together.
Now he will rip them apart…Once hunted by a serial killer, Raven Elliot has tried to move forward. But memories rush back when her living nightmare escapes from prison…and Detective Lucien Match shows up at her door. Her bond with Lucien goes deep, as does a killer’s need for revenge. Lucien wants to protect Raven, show her the way to safety…and his heart. But in so doing, he might be heading into one last deadly trap. "
https://49thshelf.com/Books/S/Serial-Monogamy,Serial Monogamy,Kate Taylor,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/serial-monogamy/9780385685627_cover/310024677-1-eng-CA/9780385685627_cover_coverbookpage_embed.jpg,"What happens when life and ambition collide with betrayal and disease? Sharon's comfortable existence as a novelist, wife and mother to twin daughters is shattered by a cancer diagnosis, and by her husband's affair with a graduate student. The only relief in sight is a new writing project—an engrossing serialized novel based on the story of the 19th-century actress Nelly Ternan, the young mistress of the aging Charles Dickens. Chronicling this infamous affair, Sharon is forced to examine with new eyes the secrets and struggles at the heart of domestic life, as she strives to mend her own marriage and heal her body. This surprising and intricate novel shifts between Sharon's Toronto and Nelly's Victorian England in interwoven chapters, asking deep questions about what really makes up the story of a relationship and a life. "
https://49thshelf.com/Books/S/Serial-Monogamy2,Serial Monogamy,Kate Taylor,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/serial-monogamy2/9780385685641_cover/405387418-1-eng-CA/9780385685641_cover_coverbookpage_embed.jpg,"Award-winning author Kate Taylor returns with a scintillating, intricate novel about marriage and infidelity in two lushly distinct eras: Dickens' England and our own present day.

     When Sharon learns that her husband Al is having an affair with one of his students, her life is sent into turmoil, and the couple decides to split. But when Sharon is diagnosed with cancer, she and Al are brought together once again. Will they find a way to repair their relationship under the most trying and unlikely circumstance?
     Meanwhile, in an interwoven thread, we meet Nelly, a young, beautiful 19th century woman with ties to the theatre. Magnetized toward the incomparable Charles Dickens, Nelly becomes his secret mistress. But soon, she will learn the cost of her captivity and the limits she has placed on her own life.      As these dual narratives each work through the mysteries around fidelity and marriage, love and passion, creativity and the secrets at the heart of domestic life, they will aslo ask deep questions about biography and infamy, and what really makes up the story of a life. "
