id,origin,book,details,character_count,word_count
39,Canadian,A Bird on Every Tree by Carol Bruneau,"A Bird on Every Tree by Carol Bruneau: Carol Bruneau, author of six acclaimed works of fiction (most recently, These Good Hands), brings her finely honed voice to 12 new stories about shifting ...",,
40,Canadian,A Bird's Eye by Cary Fagan,"A Bird's Eye by Cary Fagan: Shortlisted for the Rogers Writers' Trust Fiction Prize, and selected as an Amazon.ca Best Book.With all the wonder of a small-scale The Amazing Adventures of ...",,
41,Canadian,Able Muse Anthology by Alexander Pepple,"Able Muse Anthology by Alexander Pepple: The Able Muse Anthology  from the new Able Muse Press  celebrates Able Muse's journey through its first decade and beyond, by showcasing the best of ...",,
42,Canadian,"Able Muse - a review of poetry, prose and art by Alexander Pepple","Able Muse - a review of poetry, prose and art by Alexander Pepple: This is the seminannual Able Muse Review (Print Edition) - Summer, 2011 issue. This issue continues the tradition of masterfully crafted poetry, fiction, ...",,
43,Canadian,A Blessed Snarl by Samuel Martin,"A Blessed Snarl by Samuel Martin: Patrick Wiseman moved his wife and son back to Newfoundland to start a new Pentecostal church, but when his wife Anne leaves him for a man she meets on ...",,
44,Canadian,A Blue Spruce Christmas by Brian Fawcett,"A Blue Spruce Christmas by Brian Fawcett: Set in 1957, A Blue Spruce Christmas reminds us what it was like to grow up in small town Canada during the Cold War. Set against the backdrop of the ...",,
45,Canadian,Ablutions by Patrick deWitt,"Ablutions by Patrick deWitt: From the author of the award-winning The Sisters Brothers comes a dark, boozy, and hilarious tale from the LA underworld.A nameless barman tends a decaying bar ...",,
46,Canadian,A Book of Great Worth by Dave Margoshes,"A Book of Great Worth by Dave Margoshes: Set largely among the Jewish community of inter-war New York City, this is a beautifully-told collection of scenes from Morgenstern's life. The tricky ground ...",,
47,Canadian,A Borrowing of Bones by Paula Munier,"A Borrowing of Bones by Paula Munier: The first in a gripping new series by Paula Munier,A Borrowing of Bones is full of complex twists, introducing a wonderful new voice for mystery readers and ...",,
48,Canadian,A Bounty of Evil by Markus Matthews,"A Bounty of Evil by Markus Matthews: Air elemental Zack Stevens is on a roll. His bounty-hunting business is thriving, he's survived a battle with a master vampire, and he's taken on four new ...",,
49,Canadian,A Bounty with Strings by Markus Matthews,"A Bounty with Strings by Markus Matthews: It's been six years since the Hamilton Hurricane patrolled the skies above Hamilton, Ontario. The thirty-three-year-old once used his elemental powers of Air ...",,
50,Canadian,About Love by Anton Chekhov,"About Love by Anton Chekhov: Written in France toward the end of his career, these stories are Chekhov's only attempt at the linked collection. The first is a grotesque Gogolian comedy; ...",,
51,Canadian,Above All Things by Tanis Rideout,"Above All Things by Tanis Rideout: The Paris Wife meets Into Thin Air in this breathtaking debut novel of obsession and divided loyalties, which brilliantly weaves together the harrowing story ...",,
52,Canadian,Above the Reich by David Chaundy-Smart,"Above the Reich by David Chaundy-Smart: In the 1930s, a promising young alpinist from Munich struggles to stay above the fray and the base instincts of the valley that threaten to destroy all that he ...",,
53,Canadian,A Boy of Good Breeding by Miriam Toews,A Boy of Good Breeding by Miriam Toews: From the acclaimed Giller Prize Finalist and Governor General's Award Winner: a delightfully funny and charming second novel about Canada's smallest town. ...,,
54,Canadian,A Breath of Snow and Ashes by Diana Gabaldon,"A Breath of Snow and Ashes by Diana Gabaldon: Eagerly anticipated by her legions of fans, this sixth novel in Diana Gabaldon's bestselling Outlander saga is a masterpiece of historical fiction from one ...",,
55,Canadian,A Brewski for the Old Man by Phyllis Smallman,"A Brewski for the Old Man by Phyllis Smallman: In the third Sherri Travis mystery, Phyllis Smallman returns to Jacaranda, Florida and the Sunset Bar. Ray John Leenders, the brutal man who tried to rape ...",,
56,Canadian,A Bride by Christmas by Jo Beverley,"A Bride by Christmas by Jo Beverley: Home for Christmas by Heather GrahamIt broke Travis's heart to see Isabelle go, but he was the Yankee captain who had commandeered her home and she was a ...",,
57,Canadian,A Bridge of Years by Robert Charles Wilson,A Bridge of Years by Robert Charles Wilson: Tom Winter thought the secluded cottage in the Pacific Northwest would be the perfect refugea place to nurse the wounds of lost love and happiness. But Tom ...,,
58,Canadian,A Brightness Long Ago by Guy Gavriel Kay,A Brightness Long Ago by Guy Gavriel Kay: From the internationally bestselling author of Tigana and The Lions of Al-Rassan comes a masterful new novel set in a vivid world evoking early Renaissance ...,,
59,Canadian,Absolution by Patrick Flanery,"Absolution by Patrick Flanery: Told in shifting perspectives, Absolution revolves around the mysterious Clare Wald, a controversial writer and critic of great fame, now a recluse behind the ...",,
60,Canadian,"Abundance of the Infinite, The by Christopher Canniff","Abundance of the Infinite, The by Christopher Canniff: Tormented by his wife's decision to abort their child, a psychologist travels to a small coastal fishing town in South America to distance himself from the ...",,
61,Canadian,A Cadence Creek Christmas by Donna Alward,A Cadence Creek Christmas by Donna Alward: It's Christmas in Donna Alward's Cadence Creek? ;Taylor Shepard has come to Cadence Creek to organize her brother's Christmas wedding. Organizing such a special ...,,
62,Canadian,A Case of You by Rick Blechta,"A Case of You by Rick Blechta: ""She had a voice like an angel, smooth and complex as a twenty-year-old single malt, rich as thick cream. Everyone who heard Olivia sing felt as if she could ...",,
63,Canadian,A Cast of Falcons by Steve Burrows,"A Cast of Falcons by Steve Burrows: The threat from above casts a dark shadow.A man falls to his death from a cliff face in western Scotland. From a distance, another man watches. He approaches ...",,
64,Canadian,Accidental Commando by Ingrid Weaver,"Accidental Commando by Ingrid Weaver: A Caribbean island""¦a honeymoon suite""¦sexy lingerie. Emily Wright has everything for the perfect honeymoonexcept a husband! Although her nuptials are ...",,
65,Canadian,Accidental Eyewitness by Michelle Karl,"Accidental Eyewitness by Michelle Karl: In a killer's sights""¦a lawman at her sideA Mountie Brotherhood storyAfter Ellen Biers witnesses a theft turned homicide, the killer targets her. But her ...",,
66,Canadian,Accordeon by Kaie Kellough,"Accordeon by Kaie Kellough: Finalist for the 2017 Amazon.ca First Novel AwardAccordeon is an experimental novel, a piercing deconstruction of Quebecois culture, an ode to Montreala ...",,
67,Canadian,Accounting for Crime by Richard King,"Accounting for Crime by Richard King: Robert Scroyle C.A., is the senior partner at Scroyle, Caitiff, Rudisbe and Spavin. He is married, has a girlfriend or two and is no stranger to a shady tax ...",,
68,Canadian,Accusation by Catherine Bush,"Accusation by Catherine Bush: Selected as an Amazon.ca Best Book of 2013, a Canada Reads Top 40 Pick, and a NOW Magazine Book of the YearWhile in Copenhagen, Sara Wheeler, a Toronto ...",,
69,Canadian,A Chance for the Rancher by Brenda Harlen,"A Chance for the Rancher by Brenda Harlen: Would you take a risk on a cowboy's kiss?Dating a single mom? Patrick Stafford would never break that rule""¦Patrick Stafford trades his suit for a Stetson ...",,
70,Canadian,A Changed Heart by May Agnes Fleming,"A Changed Heart by May Agnes Fleming: Romance, suspense, and murder provide the backdrop for this Gothic novel set in mid-Victorian Saint John, New Brunswick, by 19th-century writer May Agnes ...",,
71,Canadian,A Child Changes Everything by Stella MacLean,"A Child Changes Everything by Stella MacLean: What do you do when you find out your whole life has been a lie? First the birth mother you believed was dead is, in fact, alive. Then you discover you have a ...",,
72,Canadian,A Choir of Crows by Candace Robb,"A Choir of Crows by Candace Robb: When two bodies are discovered in the grounds of York Minster shortly before the enthronement of the new archbishop, Owen Archer is summoned to investigate. ...",,
73,Canadian,A Christmas Seduction by Daire St. Denis,A Christmas Seduction by Daire St. Denis: Her first real Christmas  ;Her first real cowboy? ;Journalist Jolie Duval has escaped her killjoy family in order to enjoy a real down-home Christmas in Montana. ...,,
74,Canadian,A Chronicle of Magpies by Bruce Meyer,"A Chronicle of Magpies by Bruce Meyer: This collection examines the serendipity and spontaneity of history through stories about love, family, and art. Bruce Meyers offers a view that is both ...",,
75,Canadian,A Circle on the Surface by Carol Bruneau,"A Circle on the Surface by Carol Bruneau: It's 1943. Enman and Una Greene are newly married. Each is haunted by their respective pasts, and each harbours secrets. They have hopes of a happy life ...",,
76,Canadian,A City Girl by Margaret Harkness,"A City Girl by Margaret Harkness: In April 1888, Friedrich Engels wrote a letter to the English novelist and journalist Margaret Harkness, expressing his appreciation for her first novel, A ...",,
77,Canadian,A Colder Kind of Death by Gail Bowen,"A Colder Kind of Death by Gail Bowen: When a prisoner is shot to death in the exercise yard of a Saskatchewan penitentiary, Joanne Kilbourn finds herself haunted by a part of her past she wished ...",,
78,Canadian,A Cold Night for Alligators by Nick Crowe,"A Cold Night for Alligators by Nick Crowe: A thrilling Knopf New Face of Fiction debut, A Cold Night for Alligators takes the reader on a breathtaking ride through the seedy, sensual Florida Everglades, ...",,
79,Canadian,A Cold Season In Shanghai by S.P. Hozy,"A Cold Season In Shanghai by S.P. Hozy: A time of turmoil, when destinies were forged""¦ In this searing historical novel by Toronto author S.P. Hozy, set amid the turmoil of early twentieth century ...",,
80,Canadian,A Cold White Fear by R.J. Harlick,"A Cold White Fear by R.J. Harlick: Stranded by a blizzard at her isolated cabin, Meg Harris, an escapee from a failed marriage into the remote wilderness, finds herself in a desperate and ...",,
81,Canadian,A Complicated Kindness by Miriam Toews,"A Complicated Kindness by Miriam Toews: Sixteen-year-old Nomi Nickel longs to hang out with Lou Reed and Marianne Faithfull in New York City's East Village. Instead she's trapped in East Village, ...",,
82,Canadian,A Confederation of Valor by Tanya Huff,"A Confederation of Valor by Tanya Huff: In Valor's Choice, Staff Sergeant Torin Kerr and her crew get yanked from a well-deserved shore leave in order to participate in an ""easy"" mission. They ...",,
83,Canadian,A Conflict of Interest by Barbara Dunlop,"A Conflict of Interest by Barbara Dunlop: She tried to stay away from him?.More than once, White House PR specialist Cara Cranshaw has considered that reporter Max Gray might want her only because he ...",,
84,Canadian,A Covenant of Salt by Martine Desjardins,"A Covenant of Salt by Martine Desjardins: Since the death of her parents in 1791, Lily McEvoy has lived as a recluse in her isolated Armagh County manor with her two maidservants and Titus, the ...",,
85,Canadian,A Cowboy Comes Home by Barbara Dunlop,"A Cowboy Comes Home by Barbara Dunlop: After years of being the black sheep, an unexpected inheritance has finally drawn Caleb Terrell home. But that doesn't mean the cowboy-turned-CEO plans to ...",,
86,Canadian,A Cowboy for the Twins by Carolyne Aarsen,A Cowboy for the Twins by Carolyne Aarsen: Cowboy DaddyShauntelle Dexter's twin girls think they've found their perfect new dad in cowboy Noah Cosgrove. But how could she ever be interested in the ...,,
87,Canadian,A Cowboy in Manhattan by Barbara Dunlop,"A Cowboy in Manhattan by Barbara Dunlop: He is Colorado to the core. And after an unexpected family reunion, Reed Terrell is also an overnight millionaire. But the cattle rancher's biggest surprise is ...",,
88,Canadian,A Cowboy in Paradise by Shana Gray,A Cowboy in Paradise by Shana Gray: Her island nights are heating up! ;Losing her luggage was Jimi Calloway's first clue that her friend's Hawaiian destination wedding would be a nightmare. The ...,,
89,Canadian,A Cowboy's Plan by Mary Sullivan,A Cowboy's Plan by Mary Sullivan: C. J. Wright has a simple strategy for his life. Get his ranch going. Sell the family's candy shop. And fix his relationship with his young son.Nowhere in his ...,,
90,Canadian,A Cowboy's Temptation by Barbara Dunlop,"A Cowboy's Temptation by Barbara Dunlop: In this Colorado Cattle Barons novel by USA TODAY bestselling author Barbara Dunlop, a cowboy seduces the enemy ;Mayor Seth Jacobs has plans, and he won't let ...",,
91,Canadian,A Cowboy To Come Home To by Donna Alward,A Cowboy To Come Home To by Donna Alward: Friendship?Melissa Stone has done a fine job of avoiding her former best friend Cooper Ford. She was devastated when she discovered her husband was cheating on ...,,
92,Canadian,Acqua Sacra by Keith Henderson,"Acqua Sacra by Keith Henderson: Everything seems broken in Suzanna Ricci's life. Only 42, her marriage to Len has disintegrated. Her relationship to their teenage boys, Robin and Logan, is ...",,
93,Canadian,A Crack in the Pavement by Georgie Binks,A Crack in the Pavement by Georgie Binks: Have you ever wondered what that bag lady on the street is harbouring in her bag? Do you ever wonder how she got there? Sheila Traventi is a happily married ...,,
94,Canadian,A Credit to Your Race by Truman Green,"A Credit to Your Race by Truman Green: A longtime resident of Surrey, Truman Green wrote 'A Credit to Your Race' (1973), in which a fifteen-year-old black porter's son falls in love with, and ...",,
95,Canadian,A Crossing of Hearts by Michel Tremblay,"A Crossing of Hearts by Michel Tremblay: A Crossing of Hearts continues Michel Tremblay's Desrosiers Diaspora series of novels, a family saga set in Montreal during World War I. August 1915. ...",,
96,Canadian,Across the Hall by NM Facile,"Across the Hall by NM Facile: Sylvia O'Mara has spent the last four years trying to get over her high school sweetheart, who, after breaking off their relationship, left town without any ...",,
97,Canadian,Act Normal by Greg Hollingshead,Act Normal by Greg Hollingshead: A new collection of short fiction from the Governor General's Literary Award-winning author and Scotiabank Giller Prize finalist Greg Hollingshead.Act Normal ...,,
99,Canadian,A Curious Dream by Kate Pullinger,"A Curious Dream by Kate Pullinger: Both startling and funny, Kate Pullinger creates stories that probe our relationships, with our friends, with our lovers, and with our family. Richard, who ...",,
100,Canadian,A Daddy for Christmas by Linda Ford,"A Daddy for Christmas by Linda Ford: Cowboy to the Rescue ;Summoned by two little girls to help their mother in distress, Blue Lyons rushes to rescue widow Clara Weston. When the cowboy discovers ...",,
101,Canadian,Adam Buenosayres by Leopoldo Marechal,"Adam Buenosayres by Leopoldo Marechal: A modernist urban novel in the tradition of James Joyce, Adam Buenosayres is a tour-de-force that does for Buenos Aires what Carlos Fuentes did for Mexico City ...",,
102,Canadian,Adam's Peak by Heather Burt,"Adam's Peak by Heather Burt: Runner-up for the 2008 Ethel Wilson Fiction Prize On a stifling August day, six-year-old Clare Fraser and seven-year-old Rudy Vantwest make eye contact from ...",,
103,Canadian,Adam's Tree by Gloria Mehlmann,Adam's Tree by Gloria Mehlmann: Adam's Tree is a fictional account of life on the Cowesses First Nation in Saskatchewan during the 1940's and 50's.This period in history finds forces like ...,,
104,Canadian,A Dangerous Crossing by Ausma Zehanat Khan,"A Dangerous Crossing by Ausma Zehanat Khan: From Ausma Zehanat Khan,critically acclaimed author ofThe Unquiet Dead, comes the devastatingly powerful new thrillerA Dangerous Crossing.For Inspector Esa ...",,
105,Canadian,A Dangerously Sexy Affair by Stefanie London,"A Dangerously Sexy Affair by Stefanie London: Don't miss the second book in The Dangerous Bachelors Club from USA TODAY bestselling author Stefanie London!Ready, player one? ;Quinn Dellinger is supposed to ...",,
106,Canadian,A Dangerously Sexy Christmas by Stefanie London,"A Dangerously Sexy Christmas by Stefanie London: Assignment: A Hot Holiday Affair! ;Aspiring jewelry designer Rose Lawson doesn't want a bodyguard. Especially the hot, muscle-y one her father hires after a ...",,
107,Canadian,A Dangerously Sexy Secret by Stefanie London,"A Dangerously Sexy Secret by Stefanie London: Siren?or Sinner? ;With her long blond hair and flowy skirts, Rhys Glover's new neighbor is the sexiest woman he's ever seen. He quickly learns she's also ...",,
108,Canadian,A Dark Adapted Eye by Barbara Vine,"A Dark Adapted Eye by Barbara Vine: A Dark-Adapted Eye - a prize-winning crime classic by bestselling author Barbara Vine Winner of the Crime Writers' Association Gold Dagger Award 'A rich, ...",,
109,Canadian,A Dark and Promised Land by Nathaniel Poole,A Dark and Promised Land by Nathaniel Poole: A story of adventure and romance set in the wilds of Rupert's Land in the early 19th century. When Orkneywoman Rose is shipwrecked on the shores of ...,,
110,Canadian,A Dark House by Ian Colford,"A Dark House by Ian Colford: In Ian Colford's latest collection, people get themselves and those they love into situations awkward and sometimes dangerous, doing what they think is best ...",,
111,Canadian,A Dark Lure by Loreth Anne White,"A Dark Lure by Loreth Anne White: Twelve years ago, Sarah Baker was abducted by the Watt Lake Killer and sexually assaulted for months before managing to escape. The killer was caught, but ...",,
112,Canadian,A Darkness Absolute by Kelley Armstrong,A Darkness Absolute by Kelley Armstrong: People disappear to Rockton so no-one can find them. But the trouble is people also disappear from Rockton. New York Times and Globe and Mail bestselling ...,,
113,Canadian,A Darkness of the Heart by Gail Bowen,"A Darkness of the Heart by Gail Bowen: The 18th installment of the bestselling Joanne Kilbourn series from the ""queen of Canadian crime fiction"" (Winnipeg Free Press).When, at the age of sixty, ...",,
114,Canadian,A Daughter of No Nation by A.M. Dellamonica,"A Daughter of No Nation by A.M. Dellamonica: As soon as Sophie Hansa returned to our world, she is anxious to once again go back to Stormwrack. Unable to discuss the wondrous sights she has seen, and ...",,
115,Canadian,Addicted by Charlotte Featherstone,"Addicted by Charlotte Featherstone: Friends since childhood, Anais Darnby and Lindsay Markham have long harbored a secret passion for one another. When they finally confess their love, their ...",,
116,Canadian,A Deadly Divide by Ausma Zehanat Khan,"A Deadly Divide by Ausma Zehanat Khan: From the critically acclaimed author Ausma Zehanat Khan,A Deadly Divide is the devastatingly powerful new thriller featuring beloved series detectives Esa ...",,
117,Canadian,A Deadly Venture by Chris Laing,"A Deadly Venture by Chris Laing: Max Dexter and his easy-on-the-eyes assistant Isabel O?rien are back in the second book of this post-WWII historical mystery series set in Hamilton, Ontario. ...",,
118,Canadian,A Deal at the Altar by Donna Alward,A Deal at the Altar by Donna Alward: This convenient arrangement could be so much more! ;HIRED BY THE COWBOY ;Alexis Grayson can look after herself?even if she's alone and pregnant. But gorgeous ...,,
119,Canadian,A Deal for the Di Sione Ring by Jennifer Hayward,"A Deal for the Di Sione Ring by Jennifer Hayward: ""Marry me, sell me the ring and I will fly you out of here tonight.""Hotel magnate Nate Brunswick's faith in marriage was destroyed by his father. But in ...",,
120,Canadian,A Debt Paid in Passion by Dani Collins,"A Debt Paid in Passion by Dani Collins: A beautiful thief??  ;Raoul Zesiger has everything a man could want?including Sirena Abbott, the perfect PA who keeps his life in order. Or so it seems, until ...",,
121,Canadian,A Debt Paid in the Marriage Bed by Jennifer Hayward,A Debt Paid in the Marriage Bed by Jennifer Hayward: The unwilling Ricci wife? ;Angelina's world is shattered when Lorenzo Ricci walks through the door of her engagement party and demands she call off the ...,,
122,Canadian,A Deceptive Devotion by Iona Whishaw,"A Deceptive Devotion by Iona Whishaw: Wedding bells, a grisly murder, and a defecting Russian spy bring drama to King's Cove in the newest Lane Winslow mystery, a series that the Globe and Mail ...",,
123,Canadian,A Dedicated Man by Peter Robinson,"A Dedicated Man by Peter Robinson: ""If you haven't encountered Chief Inspector Alan Banks before, prepare for a crash course in taut, clean writing and subtle psychology. And watch for those ...",,
124,Canadian,A Delhi Obsession by MG Vassanji,"A Delhi Obsession by MG Vassanji: Two-time Giller Prize winner M.G. Vassanji returns with a powerful new novel about grief and second chances, tradition and rebellion, set in vibrant ...",,
125,Canadian,A Deliberate Father by Kate Kelly,A Deliberate Father by Kate Kelly: Falling for a woman with kids was never part of Jordan Tanner's plans. His intention was to quickly sell the building he's inherited and pave the way to ...,,
126,Canadian,A Delicate Matter by Don Easton,"A Delicate Matter by Don Easton: In the tenth Jack Taggart Mystery, Taggart goes head to head with a longtime enemy who's been eluding him for years ""¦Jack Taggart is once again going head ...",,
127,Canadian,Adeline Mowbray by Amelia Opie,"Adeline Mowbray by Amelia Opie: When Adeline Mowbray puts her mother Editha's radical theories into practice by eloping with, but not marrying, a notorious writer, the mother and daughter ...",,
128,Canadian,A Desolate Splendor by John Jantunen,A Desolate Splendor by John Jantunen: A chilling portrait of a family ;fighting to preserve their humanity in a cruel and merciless worldThe collapse of civilization has left the survivors scattered ...,,
129,Canadian,A Desperate Fortune by Susanna Kearsley,"A Desperate Fortune by Susanna Kearsley: From the bestselling author of The Firebird, comes an exquisitely crafted novel of modern-day and historical intrigue.For nearly 300 years, the mysterious ...",,
130,Canadian,A Detached Pirate by Helen Milecete,"A Detached Pirate by Helen Milecete: When Gay Vandeleur is divorced by her military husband in late Victorian London, she heads out to Halifax, Nova Scotia, to build a new life of romance and ...",,
